Stock,Last Close,Pattern Description,Start,End,Breakout,Breakout Date,Approx. Breakout Price,Fill Price,Avg 3 Mo. Volume,Ultimate High/Low,Ultimate H/L Date,Approx. Target,Volatility Stop,Trade Status,Pattern Width (days/price bars),Height,Stage
BANARISUG.txt,2800.45,Broadening bottom (BB),10/29/2013,01/27/2014,Up,03/03/2014,780,835.3,718,1220,06/24/2014,845 or 8%,718.8 or -3%,Target (845) reached on 03/05/2014,91,Short,
BASF.txt,2599.65,Broadening bottom (BB),03/08/2007,04/10/2007,Up,04/17/2007,200,200,"9,171",295.6,07/19/2007,215.9 or 8%,184.08 or -5%,Target (215.9) reached on 04/18/2007,34,Short,
BASF.txt,2599.65,Broadening bottom (BB),03/05/2013,06/26/2013,Down,07/24/2013,538,538,"14,559",490.5,08/07/2013,448.35 or -17%,585.08 or 5%,Stop (585.08) triggered on 10/10/2013,114,Tall,
BASML.txt,49,Broadening bottom (BB),02/14/2014,03/05/2014,Up,04/03/2014,54.53,56.97,"1,801",67.75,05/30/2014,57.06 or 5%,50.17 or -4%,Target (57.06) reached on 04/04/2014,20,Short,
BATAINDIA.txt,1640.8,Broadening bottom (BB),02/15/2013,02/28/2013,Down,03/19/2013,361.5,357.35,"407,792",343.42,03/20/2013,327.6 or -9%,396.92 or 7%,Stop (396.92) triggered on 05/08/2013,14,Short,
BATAINDIA.txt,1640.8,Broadening bottom (BB),07/14/2020,08/13/2020,Up,08/27/2020,1331.55,1356,"1,102,051",1681.95,01/06/2021,1449.3 or 9%,1226.78 or -5%,Target (1449.3) reached on 11/19/2020,31,Short,
BAYERCROP.txt,4303.35,Broadening bottom (BB),10/17/2022,11/21/2022,Up,12/06/2022,4769.9,4806,"18,894",5037.75,01/02/2023,5034.8 or 6%,4440.56 or -4%,Target (5034.8) reached on 01/02/2023,36,Short,
BBL.txt,3046.9,Broadening bottom (BB),08/24/2016,09/15/2016,Down,09/29/2016,750,745,"20,079",732.2,09/30/2016,665 or -11%,834.48 or 6%,Stop (834.48) triggered on 10/18/2016,23,Short,
BEL.txt,125.15,Broadening bottom (BB),12/27/2022,01/13/2023,Up,01/16/2023,101.7,102.35,"15,505,215",104,01/18/2023,106 or 4%,92.76 or -5%,Stop (92.76) triggered on 01/27/2023,18,Short,
BEPL.txt,129.15,Broadening bottom (BB),10/21/2022,12/23/2022,Up,01/03/2023,118.4,123.45,"330,875",127.8,01/04/2023,135.7 or 15%,97.47 or -8%,Stop (97.47) triggered on 03/16/2023,64,Tall,
BFINVEST.txt,385.55,Broadening bottom (BB),12/22/2020,05/19/2021,Up,06/10/2021,347.7,385.8,"116,756",445,07/19/2021,430.3 or 24%,301.32 or -11%,Target (430.3) reached on 07/19/2021,149,Tall,
BHAGYANGR.txt,56.6,Broadening bottom (BB),06/12/2007,07/11/2007,Up,07/16/2007,43.5,48.15,"118,931",50.5,07/17/2007,48.2 or 11%,38.34 or -8%,Target (48.2) reached on 07/17/2007,30,Short,
BHARATFORG.txt,817.6,Broadening bottom (BB),05/30/2016,06/13/2016,Up,07/04/2016,387.45,389,"1,456,129",392.5,07/04/2016,410.4 or 6%,358.26 or -6%,Target (410.4) reached on 08/05/2016,15,Short,
BHARATRAS.txt,9781.2,Broadening bottom (BB),01/23/2007,03/14/2007,Up,04/25/2007,55.4,55.4,645,69.95,09/13/2007,61.5 or 11%,46.3 or -8%,Target (61.5) reached on 09/07/2007,51,Short,
BIL.txt,223.9,Broadening bottom (BB),07/10/2017,07/28/2017,Down,08/10/2017,575.6,558,"29,281",546.3,08/10/2017,541.3 or -6%,642.32 or 7%,Stop (642.32) triggered on 09/08/2017,19,Short,
BIOCON.txt,245,Broadening bottom (BB),01/24/2006,03/29/2006,Down,05/19/2006,36.25,36.25,"1,033,287",24.96,08/09/2006,31 or -14%,42.15 or 11%,Target (31) reached on 06/06/2006,65,Tall,
BIRLACORPN.txt,1203.45,Broadening bottom (BB),07/15/2010,08/19/2010,Up,09/07/2010,374.9,386,"17,721",447.95,09/30/2010,402.75 or 7%,343.59 or -6%,Target (402.75) reached on 09/07/2010,36,Short,
BLISSGVS.txt,83.7,Broadening bottom (BB),11/16/2022,01/19/2023,Up,01/25/2023,77,77.1,"174,385",,,84.2 or 9%,67.57 or -5%,Target (84.2) reached on 05/10/2023,65,Short,
BLUECOAST.txt,6,Broadening bottom (BB),05/05/2009,06/04/2009,Up,06/09/2009,94.5,95,36,123,09/14/2009,107 or 13%,92.62 or -1%,Stop (92.62) triggered on 06/10/2009,31,Tall,
BLUEDART.txt,6741.65,Broadening bottom (BB),08/04/2005,11/18/2005,Up,11/24/2005,508.9,519,"3,959",702.6,03/07/2006,614.2 or 21%,457.77 or -8%,Target (614.2) reached on 01/25/2006,107,Tall,
BLUEDART.txt,6741.65,Broadening bottom (BB),03/13/2007,04/05/2007,Up,04/27/2007,490,490,"4,668",819.9,06/20/2007,559 or 14%,391.78 or -11%,Target (559) reached on 06/14/2007,24,Tall,
BOSCHLTD.txt,19058.65,Broadening bottom (BB),07/25/2005,08/26/2005,Up,09/19/2005,2248,2260,"6,481",3359,03/08/2006,2444.9 or 9%,2103.44 or -4%,Target (2444.9) reached on 09/30/2005,33,Short,
BPCL.txt,372.45,Broadening bottom (BB),08/26/2011,10/03/2011,Down,10/31/2011,105.35,103.33,"2,390,451",76.34,01/05/2012,95.03 or -10%,118.16 or 6%,Target (95.03) reached on 11/09/2011,39,Short,
BPCL.txt,372.45,Broadening bottom (BB),07/08/2021,08/17/2021,Up,08/27/2021,469.75,474.9,"4,624,122",503,09/14/2021,498.95 or 6%,438.9 or -4%,Target (498.95) reached on 09/13/2021,41,Short,
BRIGADE.txt,586.25,Broadening bottom (BB),09/24/2009,11/10/2009,Up,01/14/2010,99.97,101.8,"571,051",124.67,01/18/2010,129.07 or 29%,83.51 or -8%,Stop (83.51) triggered on 11/22/2010,48,Tall,
BRIGADE.txt,586.25,Broadening bottom (BB),03/08/2016,04/18/2016,Up,04/27/2016,101.2,103.47,"127,214",125.93,06/17/2016,112.4 or 11%,92.92 or -7%,Target (112.4) reached on 04/27/2016,42,Short,
BRITANNIA.txt,5056.45,Broadening bottom (BB),05/18/2012,07/02/2012,Down,07/24/2012,247.48,245.57,"102,828",190,08/03/2012,218.88 or -12%,261.43 or 5%,Target (218.88) reached on 08/03/2012,46,Short,
BRITANNIA.txt,5056.45,Broadening bottom (BB),11/28/2019,02/28/2020,Down,03/12/2020,2917,2700,"395,576",2410,03/13/2020,2516 or -14%,3234.57 or 6%,Target (2516) reached on 03/13/2020,93,Short,
BRNL.txt,31.6,Broadening bottom (BB),10/22/2019,11/21/2019,Down,12/10/2019,59.55,59.55,"17,337",55,01/02/2020,49.25 or -17%,68.51 or 10%,Stop (68.51) triggered on 01/10/2020,31,Tall,
BRNL.txt,31.6,Broadening bottom (BB),10/18/2022,11/25/2022,Up,12/15/2022,44.6,45.45,"260,163",47.35,12/15/2022,56.35 or 26%,39.02 or -12%,Stop (39.02) triggered on 12/21/2022,39,Tall,
BUTTERFLY.txt,1182.1,Broadening bottom (BB),11/10/2022,12/20/2022,Down,01/20/2023,1496,1491.65,"7,038",977.55,05/19/2023,1311.5 or -12%,1594.74 or 5%,Target (1311.5) reached on 02/28/2023,41,Short,
BYKE.txt,38.2,Broadening bottom (BB),04/17/2015,05/08/2015,Up,05/18/2015,168.05,170.4,"137,839",174.4,05/20/2015,179.15 or 7%,152.69 or -5%,Target (179.15) reached on 07/29/2015,22,Short,
CALSOFT.txt,15.45,Broadening bottom (BB),04/08/2011,04/27/2011,Down,05/19/2011,30.4,30.15,"2,470",27.25,06/16/2011,25.5 or -16%,35.21 or 14%,Stop (35.21) triggered on 07/19/2011,20,Tall,
CANTABIL.txt,1070.75,Broadening bottom (BB),02/10/2021,09/14/2021,Up,09/23/2021,577.3,615,"121,539",950,02/07/2022,799.6 or 39%,406.81 or -15%,Target (799.6) reached on 12/31/2021,217,Tall,
